link_id,from_node_id,to_node_id,length,geometry
0,7,8,9.080575277,"LINESTRING (-109.788403 34.301335, -109.7883991 34.3014166)"
1,8,7,9.080575277,"LINESTRING (-109.7883991 34.3014166, -109.788403 34.301335)"
2,9,10,186.8836021,"LINESTRING (-109.7860822 34.2561989, -109.7857884 34.2578596)"
3,10,9,186.8836021,"LINESTRING (-109.7857884 34.2578596, -109.7860822 34.2561989)"
4,11,12,1584.280981,"LINESTRING (-109.7277667 34.2700626, -109.71528 34.278451)"
5,12,11,1584.280981,"LINESTRING (-109.71528 34.278451, -109.7277667 34.2700626)"
6,13,14,299.9169566,"LINESTRING (-109.7499777 34.272105, -109.7494802 34.2747706)"
7,14,13,299.9169566,"LINESTRING (-109.7494802 34.2747706, -109.7499777 34.272105)"
8,15,16,173.9774057,"LINESTRING (-109.737858 34.251763, -109.736809 34.250847)"
9,16,15,173.9774057,"LINESTRING (-109.736809 34.250847, -109.737858 34.251763)"
10,16,17,210.6904538,"LINESTRING (-109.736809 34.250847, -109.735679 34.25181)"
11,17,16,210.6904538,"LINESTRING (-109.735679 34.25181, -109.736809 34.250847)"
12,19,20,396.8089987,"LINESTRING (-109.7548099 34.3249931, -109.7517687 34.3273542)"
13,20,19,396.8089987,"LINESTRING (-109.7517687 34.3273542, -109.7548099 34.3249931)"
14,22,603,669.5921258,"LINESTRING (-109.8099206 34.272382, -109.8171773 34.2722546)"
15,603,22,669.5921258,"LINESTRING (-109.8171773 34.2722546, -109.8099206 34.272382)"
16,24,23,1626.860429,"LINESTRING (-109.82267 34.2855395, -109.8154122 34.2731541)"
17,23,24,1626.860429,"LINESTRING (-109.8154122 34.2731541, -109.82267 34.2855395)"
18,25,26,203.9712345,"LINESTRING (-109.788449 34.33761, -109.7884199 34.3394442)"
19,26,25,203.9712345,"LINESTRING (-109.7884199 34.3394442, -109.788449 34.33761)"
20,26,3,201.8409776,"LINESTRING (-109.7884199 34.3394442, -109.7884891 34.3412585)"
21,3,26,201.8409776,"LINESTRING (-109.7884891 34.3412585, -109.7884199 34.3394442)"
22,34,35,915.3541648,"LINESTRING (-109.77811 34.223086, -109.768162 34.222761)"
23,35,34,915.3541648,"LINESTRING (-109.768162 34.222761, -109.77811 34.223086)"
24,700,662,19.60898625,"LINESTRING (-109.7680814 34.2720286, -109.7680251 34.2721987)"
25,662,700,19.60898625,"LINESTRING (-109.7680251 34.2721987, -109.7680814 34.2720286)"
26,662,661,283.7853481,"LINESTRING (-109.7680251 34.2721987, -109.764938 34.2721255)"
27,661,662,283.7853481,"LINESTRING (-109.764938 34.2721255, -109.7680251 34.2721987)"
28,661,38,332.0500693,"LINESTRING (-109.764938 34.2721255, -109.7616509 34.2724052)"
29,38,661,332.0500693,"LINESTRING (-109.7616509 34.2724052, -109.764938 34.2721255)"
30,38,39,77.90431229,"LINESTRING (-109.7616509 34.2724052, -109.7616555 34.2731058)"
31,39,38,77.90431229,"LINESTRING (-109.7616555 34.2731058, -109.7616509 34.2724052)"
32,46,47,774.696666,"LINESTRING (-109.8137542 34.2899737, -109.8137952 34.2831541)"
33,47,46,774.696666,"LINESTRING (-109.8137952 34.2831541, -109.8137542 34.2899737)"
34,48,49,364.844251,"LINESTRING (-109.74343 34.255487, -109.7413044 34.2571606)"
35,49,48,364.844251,"LINESTRING (-109.7413044 34.2571606, -109.74343 34.255487)"
36,45,52,614.0745211,"LINESTRING (-109.8209453 34.2411893, -109.8209747 34.235667)"
37,52,45,614.0745211,"LINESTRING (-109.8209747 34.235667, -109.8209453 34.2411893)"
38,30,56,806.9600772,"LINESTRING (-109.7869863 34.3351558, -109.7781978 34.3351807)"
39,56,30,806.9600772,"LINESTRING (-109.7781978 34.3351807, -109.7869863 34.3351558)"
40,57,58,227.4278235,"LINESTRING (-109.7935484 34.3303639, -109.7935738 34.3324091)"
41,58,57,227.4278235,"LINESTRING (-109.7935738 34.3324091, -109.7935484 34.3303639)"
42,59,60,97.48923928,"LINESTRING (-109.758531 34.294321, -109.757478 34.29443)"
43,60,59,97.48923928,"LINESTRING (-109.757478 34.29443, -109.758531 34.294321)"
44,61,62,402.4884123,"LINESTRING (-109.804826 34.295928, -109.804742 34.299547)"
45,62,61,402.4884123,"LINESTRING (-109.804742 34.299547, -109.804826 34.295928)"
46,63,494,1183.392978,"LINESTRING (-109.7125578 34.2572966, -109.7102756 34.2519654)"
47,494,63,1183.392978,"LINESTRING (-109.7102756 34.2519654, -109.7125578 34.2572966)"
48,67,68,456.6716427,"LINESTRING (-109.803369 34.222236, -109.799812 34.223999)"
49,68,67,456.6716427,"LINESTRING (-109.799812 34.223999, -109.803369 34.222236)"
50,515,69,1124.8724,"LINESTRING (-109.8297858 34.2221656, -109.836768 34.2287762)"
51,69,515,1124.8724,"LINESTRING (-109.836768 34.2287762, -109.8297858 34.2221656)"
52,70,71,49.91913061,"LINESTRING (-109.759447 34.233647, -109.759482 34.233199)"
53,71,70,49.91913061,"LINESTRING (-109.759482 34.233199, -109.759447 34.233647)"
54,72,73,157.981983,"LINESTRING (-109.7781406 34.3322661, -109.7798611 34.3322715)"
55,73,72,157.981983,"LINESTRING (-109.7798611 34.3322715, -109.7781406 34.3322661)"
56,74,75,89.18760616,"LINESTRING (-109.750254 34.286433, -109.750268 34.287235)"
57,75,74,89.18760616,"LINESTRING (-109.750268 34.287235, -109.750254 34.286433)"
58,77,78,201.8188127,"LINESTRING (-109.7616976 34.3522907, -109.7616966 34.3541057)"
59,78,77,201.8188127,"LINESTRING (-109.7616966 34.3541057, -109.7616976 34.3522907)"
60,80,81,130.1101321,"LINESTRING (-109.739981 34.250043, -109.740606 34.249426)"
61,81,80,130.1101321,"LINESTRING (-109.740606 34.249426, -109.739981 34.250043)"
62,82,83,443.7913784,"LINESTRING (-109.721046 34.22916, -109.720256 34.232906)"
63,83,82,443.7913784,"LINESTRING (-109.720256 34.232906, -109.721046 34.22916)"
64,355,534,1260.299605,"LINESTRING (-109.8306002 34.3051076, -109.8443207 34.3051216)"
65,534,355,1260.299605,"LINESTRING (-109.8443207 34.3051216, -109.8306002 34.3051076)"
66,534,533,379.2335914,"LINESTRING (-109.8443207 34.3051216, -109.8484492 34.3050952)"
67,533,534,379.2335914,"LINESTRING (-109.8484492 34.3050952, -109.8443207 34.3051216)"
68,754,88,291.2320719,"LINESTRING (-109.8381131 34.2824123, -109.8397081 34.2802908)"
69,88,754,291.2320719,"LINESTRING (-109.8397081 34.2802908, -109.8381131 34.2824123)"
70,89,90,88.77554444,"LINESTRING (-109.720474 34.2573874, -109.7201956 34.2581519)"
71,90,89,88.77554444,"LINESTRING (-109.7201956 34.2581519, -109.720474 34.2573874)"
72,91,92,21.90617115,"LINESTRING (-109.758393 34.288253, -109.758395 34.288056)"
73,92,91,21.90617115,"LINESTRING (-109.758395 34.288056, -109.758393 34.288253)"
74,93,94,29.94489595,"LINESTRING (-109.758751 34.29003, -109.758783 34.289762)"
75,94,93,29.94489595,"LINESTRING (-109.758783 34.289762, -109.758751 34.29003)"
76,96,97,337.4646819,"LINESTRING (-109.716568 34.22968, -109.717307 34.232479)"
77,97,96,337.4646819,"LINESTRING (-109.717307 34.232479, -109.716568 34.22968)"
78,98,99,104.5907061,"LINESTRING (-109.725354 34.229092, -109.725896 34.229919)"
79,99,98,104.5907061,"LINESTRING (-109.725896 34.229919, -109.725354 34.229092)"
80,100,101,208.9584306,"LINESTRING (-109.708475 34.228373, -109.709524 34.229976)"
81,101,100,208.9584306,"LINESTRING (-109.709524 34.229976, -109.708475 34.228373)"
82,101,102,188.2619984,"LINESTRING (-109.709524 34.229976, -109.711298 34.230346)"
83,102,101,188.2619984,"LINESTRING (-109.711298 34.230346, -109.709524 34.229976)"
84,101,103,1080.262379,"LINESTRING (-109.709524 34.229976, -109.702493 34.237627)"
85,103,101,1080.262379,"LINESTRING (-109.702493 34.237627, -109.709524 34.229976)"
86,104,105,297.391609,"LINESTRING (-109.7891862 34.25792, -109.7891788 34.2552455)"
87,105,104,297.391609,"LINESTRING (-109.7891788 34.2552455, -109.7891862 34.25792)"
88,223,109,345.9205026,"LINESTRING (-109.7746197 34.2721282, -109.7783835 34.2721629)"
89,109,223,345.9205026,"LINESTRING (-109.7783835 34.2721629, -109.7746197 34.2721282)"
90,109,110,225.8765337,"LINESTRING (-109.7783835 34.2721629, -109.7808413 34.2721978)"
91,110,109,225.8765337,"LINESTRING (-109.7808413 34.2721978, -109.7783835 34.2721629)"
92,331,116,300.902933,"LINESTRING (-109.7325846 34.2701807, -109.7347357 34.2719544)"
93,116,331,300.902933,"LINESTRING (-109.7347357 34.2719544, -109.7325846 34.2701807)"
94,116,622,211.0369288,"LINESTRING (-109.7347357 34.2719544, -109.7366888 34.2726757)"
95,622,116,211.0369288,"LINESTRING (-109.7366888 34.2726757, -109.7347357 34.2719544)"
96,118,119,1192.971188,"LINESTRING (-109.7546284 34.2900009, -109.7538519 34.2985566)"
97,119,118,1192.971188,"LINESTRING (-109.7538519 34.2985566, -109.7546284 34.2900009)"
98,120,121,443.7457259,"LINESTRING (-109.7898511 34.2784138, -109.7944775 34.2794611)"
99,121,120,443.7457259,"LINESTRING (-109.7944775 34.2794611, -109.7898511 34.2784138)"
100,121,108,210.1880221,"LINESTRING (-109.7944775 34.2794611, -109.7966813 34.2799423)"
101,108,121,210.1880221,"LINESTRING (-109.7966813 34.2799423, -109.7944775 34.2794611)"
102,126,124,198.7416767,"LINESTRING (-109.7815773 34.2649743, -109.7815087 34.26676)"
103,124,126,198.7416767,"LINESTRING (-109.7815087 34.26676, -109.7815773 34.2649743)"
104,41,512,267.7049354,"LINESTRING (-109.7383863 34.3225503, -109.7395297 34.3203357)"
105,512,41,267.7049354,"LINESTRING (-109.7395297 34.3203357, -109.7383863 34.3225503)"
106,132,133,198.4955537,"LINESTRING (-109.7383666 34.2708049, -109.7384 34.26902)"
107,133,132,198.4955537,"LINESTRING (-109.7384 34.26902, -109.7383666 34.2708049)"
108,134,135,197.708392,"LINESTRING (-109.745087 34.293627, -109.747239 34.293649)"
109,135,134,197.708392,"LINESTRING (-109.747239 34.293649, -109.745087 34.293627)"
110,135,136,200.2803623,"LINESTRING (-109.747239 34.293649, -109.749419 34.293671)"
111,136,135,200.2803623,"LINESTRING (-109.749419 34.293671, -109.747239 34.293649)"
112,136,137,781.3283858,"LINESTRING (-109.749419 34.293671, -109.74729 34.288381)"
113,137,136,781.3283858,"LINESTRING (-109.74729 34.288381, -109.749419 34.293671)"
114,137,138,220.9176988,"LINESTRING (-109.74729 34.288381, -109.745109 34.287604)"
115,138,137,220.9176988,"LINESTRING (-109.745109 34.287604, -109.74729 34.288381)"
116,143,141,255.211611,"LINESTRING (-109.726372 34.288353, -109.7279259 34.2864505)"
117,141,143,255.211611,"LINESTRING (-109.7279259 34.2864505, -109.726372 34.288353)"
118,144,145,264.4645772,"LINESTRING (-109.736715 34.2773, -109.733983 34.277524)"
119,145,144,264.4645772,"LINESTRING (-109.733983 34.277524, -109.736715 34.2773)"
120,667,146,175.9491622,"LINESTRING (-109.7355752 34.351867, -109.735461 34.353431)"
121,146,667,175.9491622,"LINESTRING (-109.735461 34.353431, -109.7355752 34.351867)"
122,146,147,203.7694107,"LINESTRING (-109.735461 34.353431, -109.735407 34.355263)"
123,147,146,203.7694107,"LINESTRING (-109.735407 34.355263, -109.735461 34.353431)"
124,147,148,203.8353696,"LINESTRING (-109.735407 34.355263, -109.73538 34.357096)"
125,148,147,203.8353696,"LINESTRING (-109.73538 34.357096, -109.735407 34.355263)"
126,149,148,300.8115933,"LINESTRING (-109.7321041 34.3571654, -109.73538 34.357096)"
127,148,149,300.8115933,"LINESTRING (-109.73538 34.357096, -109.7321041 34.3571654)"
